,timestamp,swptrace,cmd,mode,swpentry,address
4015,0.731681,swptrace,memwalk,in,19404,00000000bdecb96d
4017,0.732412,swptrace,memwalk,in,19407,0000000013007e67
4019,0.732605,swptrace,memwalk,in,19415,0000000079ceabc9
4021,0.732781,swptrace,memwalk,in,19413,00000000709db9e6
4023,0.732986,swptrace,memwalk,in,19412,0000000093c40c9f
4024,0.733175,swptrace,memwalk,map,19412,139710960320512
4026,0.733181,swptrace,memwalk,in,19424,000000001b651d5a
4028,0.733323,swptrace,memwalk,in,19422,00000000c092d092
4030,0.73355,swptrace,memwalk,in,19417,00000000afa2c930
4032,0.733749,swptrace,memwalk,in,19419,00000000428d10e0
4034,0.733879,swptrace,memwalk,in,19425,000000001befa5a2
4036,0.734015,swptrace,memwalk,in,19426,000000004199bc52
4038,0.734137,swptrace,memwalk,map,19426,94915303084032
4040,0.734158,swptrace,memwalk,in,19421,000000004367766f
4042,0.734348,swptrace,memwalk,in,19410,00000000be020c41
4044,0.734522,swptrace,memwalk,in,19405,000000008d13138d
4046,0.734687,swptrace,memwalk,in,19409,0000000098b01920
4048,0.734795,swptrace,memwalk,in,19411,000000003201bf62
4050,0.7349,swptrace,memwalk,in,19403,000000005bbcdec3
4052,0.73509,swptrace,memwalk,in,19406,000000007d9a55b5
4054,0.735237,swptrace,memwalk,in,19414,000000000c44846d
4056,0.735374,swptrace,memwalk,in,19418,000000004a093553
4057,0.735525,swptrace,memwalk,map,19427,139710419333120
4062,0.735537,swptrace,memwalk,in,19555,00000000f8892a96
4063,0.735844,swptrace,memwalk,map,19555,139710419857408
4065,0.73585,swptrace,memwalk,in,1080,000000001761937e
4067,0.736024,swptrace,memwalk,map,1080,139710420381696
4069,0.73603,swptrace,memwalk,in,1208,00000000acd3ec6f
4071,0.736312,swptrace,memwalk,in,1336,00000000bd1888df
4073,0.755242,swptrace,memwalk,in,1464,0000000055437be0
4075,0.846661,swptrace,memwalk,in,1592,00000000e615d7da
4077,0.872045,swptrace,memwalk,in,1720,00000000b786cc61
4079,0.909367,swptrace,memwalk,in,1848,0000000054364e57
4081,0.93475,swptrace,memwalk,in,1976,00000000778d6f65
4083,0.94179,swptrace,memwalk,in,2104,00000000c1c86ec1
4085,0.986472,swptrace,memwalk,in,2232,000000004dd59cf2
4087,1.033848,swptrace,memwalk,in,2360,00000000fff19f97
4089,1.037242,swptrace,memwalk,in,2488,00000000280e2c1c
4091,1.04064,swptrace,memwalk,in,2616,00000000e34a005e
4093,1.044981,swptrace,memwalk,in,2744,00000000731841b4
4095,1.048376,swptrace,memwalk,in,2872,0000000015bc6e85
4097,1.051753,swptrace,memwalk,in,3000,000000002826da36
4099,1.05611,swptrace,memwalk,in,3128,0000000013be076e
4101,1.059419,swptrace,memwalk,in,3256,00000000e00d7a23
4103,1.062897,swptrace,memwalk,in,3384,00000000b628c51e
4105,1.067205,swptrace,memwalk,in,3512,00000000ae96f94a
4107,1.070636,swptrace,memwalk,in,3640,00000000e0e86fd0
4109,1.074034,swptrace,memwalk,in,3768,0000000089d24d29
4111,1.078371,swptrace,memwalk,in,3896,000000005bd2c2ce
4113,1.081766,swptrace,memwalk,in,4024,0000000050dc5a21
4115,1.085163,swptrace,memwalk,in,4152,00000000d9f71d9e
4117,1.088559,swptrace,memwalk,in,4280,000000003d9932d4
4119,1.092895,swptrace,memwalk,in,4408,000000004073dbde
4121,1.096291,swptrace,memwalk,in,4536,000000002185f573
4123,1.099647,swptrace,memwalk,in,4664,000000005694b85d
4125,1.104023,swptrace,memwalk,in,4792,000000002eb25bc4
4127,1.107314,swptrace,memwalk,in,4920,0000000062f8003e
4129,1.11086,swptrace,memwalk,in,5048,000000001549b073
4131,1.115119,swptrace,memwalk,in,5176,00000000c060d07f
4133,1.118545,swptrace,memwalk,in,5304,000000008fecf5be
4135,1.121944,swptrace,memwalk,in,5432,00000000967c9217
4137,1.12628,swptrace,memwalk,in,5560,000000002be0daf1
4139,1.129677,swptrace,memwalk,in,5688,0000000032893e6d
4141,1.133073,swptrace,memwalk,in,5816,000000002d40f6ae
4143,1.13741,swptrace,memwalk,in,5944,00000000a4a72ba6
4145,1.140807,swptrace,memwalk,in,6072,0000000070d876a4
4147,1.144152,swptrace,memwalk,in,6200,00000000e7a766a3
4149,1.14756,swptrace,memwalk,in,6328,00000000e17aa24a
4151,1.151937,swptrace,memwalk,in,6456,0000000036d6860d
4153,1.155268,swptrace,memwalk,in,6584,00000000830f90a1
4155,1.158608,swptrace,memwalk,in,6712,00000000a498a685
4157,1.16296,swptrace,memwalk,in,6840,00000000e4235704
4159,1.166356,swptrace,memwalk,in,6968,000000000236d47d
4161,1.169814,swptrace,memwalk,in,7096,00000000b18a9579
4163,1.17415,swptrace,memwalk,in,7224,00000000ab44b054
4165,1.177548,swptrace,memwalk,in,7352,0000000090d0ba1d
4167,1.180941,swptrace,memwalk,in,7480,0000000002ae1801
4169,1.185283,swptrace,memwalk,in,7608,0000000020b6c401
