swpentry,timestamp
1117,[0.498647 0.498649]
1245,[0.4989   0.498901]
1373,[0.499183 0.499184]
1501,[0.499495 0.499496]
1790,[0.499793 0.499795]
1918,[0.654749 0.654758]
2046,[0.658134 0.658142]
2174,[0.705516 0.705524]
2302,[0.73231  0.732318]
2430,[0.757224 0.757233]
2558,[0.764422 0.76443 ]
2686,[0.797948 0.797957]
2814,[0.812341 0.81235 ]
2942,[0.838301 0.83831 ]
3070,[0.864471 0.864479]
3198,[0.878442 0.878451]
3326,[0.903831 0.903839]
3454,[0.929378 0.929386]
3582,[0.944547 0.944556]
3710,[0.969935 0.969943]
3838,[0.995322 0.99533 ]
3966,[1.010653 1.010661]
4094,[1.025285 1.025296]
4222,[1.050437 1.050445]
4350,[1.065763 1.065771]
4478,[1.080157 1.080165]
4606,[1.105544 1.105552]
4734,[1.120875 1.120884]
4862,[1.14626  1.146269]
4990,[1.171648 1.171656]
5118,[1.186978 1.186986]
5246,[1.201371 1.201379]
5374,[1.22676  1.226768]
5502,[1.24115  1.241158]
5630,[1.256481 1.256489]
5758,[1.281899 1.281907]
5886,[1.296243 1.296251]
6014,[1.586514 1.58653 ]
6142,[1.611877 1.611887]
6270,[1.615273 1.615284]
6398,[1.619609 1.61962 ]
6526,[1.623006 1.623017]
6654,[1.626402 1.626412]
6782,[1.630738 1.630749]
6910,[1.634134 1.634145]
7038,[1.637533 1.637544]
7166,[1.640927 1.640938]
7294,[1.645266 1.645276]
7422,[1.648669 1.64868 ]
7550,[1.652053 1.652091]
7678,[1.656397 1.656408]
7806,[1.659845 1.659856]
7934,[1.663184 1.663196]
8062,[1.667525 1.667537]
8190,[1.670921 1.670934]
8318,[1.674317 1.674328]
8446,[1.678653 1.678665]
8574,[1.682052 1.682064]
8702,[1.685448 1.68546 ]
8830,[1.689785 1.689796]
8958,[1.69318  1.693191]
9086,[1.696538 1.696548]
9214,[1.699971 1.699983]
9342,[1.704283 1.704294]
9470,[1.707704 1.707716]
9598,[1.711103 1.71112 ]
9726,[1.715444 1.715455]
9854,[1.718835 1.718847]
9982,[1.722232 1.722243]
10110,[1.726572 1.726583]
10238,[1.729966 1.729978]
10366,[1.733325 1.733334]
10494,[1.737699 1.73771 ]
10622,[1.741097 1.741108]
10750,[1.744467 1.744477]
10878,[1.747886 1.747897]
21219,[1.752217 1.752228]
21347,[1.764035 1.764046]
21475,[1.764541 1.764549]
21603,[1.765022 1.765034]
24210,[15.84566  15.845664 15.845797]
24212,[15.845805 15.845949]
24213,[15.845803 15.845807 15.845939]
24214,[15.844423 15.844429 15.844668]
24215,[15.844438 15.845944]
24216,[15.845957 15.846111]
24217,[15.845955 15.845958 15.846106]
24218,[15.84596  15.846122]
24219,[15.845961 15.846119]
24220,[15.844139 15.845377]
24221,[15.844148 15.844685]
24223,[15.844134 15.844152 15.844411]
24225,[15.845444 15.846126]
24226,[15.845438 15.845446 15.845648]
24228,[15.845448 15.846109]
24231,[15.845453 15.845951]
24241,[15.845158 15.84516 ]
24242,[15.843778 15.843784 15.844107]
24243,[15.843793 15.845372]
24245,[15.844695 15.84471  15.844961]
24248,[15.844979 15.844982 15.845152]
24254,[15.826765 15.845419]
24255,[15.826747 15.826766 15.843768]
24256,[15.765376 15.844122]
24257,[15.76537  15.765385 15.826727]
24258,[15.765387 15.844688]
24259,[15.765388 15.844125]
24260,[ 0.496579 15.826744]
24261,[0.496577 0.496582 0.496805]
24262,[0.496583 1.77795 ]
24263,[0.496585 0.497794]
24264,[0.496261 0.497789]
24265,[0.496264 0.497796]
24266,[0.496259 0.496265 0.496569]
24267,[0.496266 0.496575]
24268,[0.496267 0.497791]
24269,[0.496268 0.497787]
24270,[0.496269 0.497792]
24271,[0.496269 0.497194]
24272,[0.496979 0.49698 ]
24273,[0.497815 0.497816 0.498   ]
24274,[0.496808 0.496809 0.496977]
24276,[0.497363 0.497364 0.497602]
24277,[0.497365 0.498008]
24278,[0.497366 0.497606]
24280,[0.497197 0.497784]
24281,[0.497198 0.497359]
24282,[ 0.497199 15.754565]
24283,[0.497196 0.4972   0.497357]
24284,[0.497609 0.49761  0.49777 ]
24285,[0.497611 0.497773]
24286,[0.497612 0.498031]
24414,[0.498032 0.498036 0.498335]
