<<<<<<< HEAD
# Trace : python ../test/cnn.py 
0:08:12 158368 
0:08:12 158369 
0:08:12 158370 
0:08:12 158371 
0:08:12 158372 
0:08:12 158373 
0:08:12 158374 
0:08:12 158375 
0:08:12 135788 
0:08:12 135789 
0:08:12 135790 
0:08:12 135791 
0:08:12 135250 
0:08:12 135251 
0:08:12 120652 
0:08:12 120653 
0:08:12 135634 
0:08:12 134144 
0:08:12 142984 
0:08:12 142985 
0:08:12 142986 
0:08:12 142987 
0:08:12 142988 
0:08:12 142989 
0:08:12 142990 
0:08:12 142991 
0:08:12 135792 
0:08:12 135793 
0:08:12 135794 
0:08:12 135795 
0:08:12 135796 
0:08:12 135797 
0:08:12 135798 
0:08:12 135799 
0:08:12 135252 
0:08:12 135253 
0:08:12 135254 
0:08:12 135255 
0:08:12 193924 
0:08:12 193925 
0:08:12 193926 
0:08:12 193927 
0:08:12 120654 
0:08:12 120655 
0:08:12 181168 
0:08:12 181169 
0:08:12 181170 
0:08:12 181171 
0:08:12 181172 
0:08:12 181173 
0:08:12 181174 
0:08:12 181175 
0:08:12 135635 
0:08:12 134145 
0:08:12 142992 
0:08:12 142993 
0:08:12 142994 
0:08:12 142995 
0:08:12 142996 
0:08:12 142997 
0:08:12 142998 
0:08:12 142999 
0:08:12 135832 
0:08:12 135833 
0:08:12 135834 
0:08:12 135835 
0:08:12 135836 
0:08:12 135837 
0:08:12 135838 
0:08:12 135839 
0:08:12 135352 
0:08:12 135353 
0:08:12 135354 
0:08:12 135355 
0:08:12 120656 
0:08:12 120657 
0:08:12 120658 
0:08:12 120659 
0:08:12 181176 
0:08:12 181177 
0:08:12 181178 
0:08:12 181179 
0:08:12 181180 
0:08:12 181181 
0:08:12 181182 
0:08:12 181183 
0:08:12 135636 
0:08:12 135637 
0:08:12 135638 
0:08:12 135639 
0:08:12 134146 
0:08:12 134147 
0:08:12 143000 
0:08:12 143001 
0:08:12 143002 
0:08:12 143003 
0:08:12 143004 
0:08:12 143005 
0:08:12 143006 
0:08:12 143007 
0:08:12 135840 
0:08:12 135841 
0:08:12 135842 
